song_key,song,artist,entry_date,exit_date,days_on_playlist,peak_position,peak_date,entry_to_peak_days,reentry_count,avg_position,rank_volatility,retention_stability_index,entry_popularity,peak_popularity,exit_popularity,album_type,is_explicit,duration_ms,total_tracks
espectacular | sky rompiendo & rauw alejandro,Espectacular,Sky Rompiendo & Rauw Alejandro,2025-04-25,2025-04-27,2,49,2025-04-25,0,1,49.5,0.5,0.6667,73.0,73.0,76.0,single,False,185739,1
espresso martini | rauw alejandro,Espresso Martini,Rauw Alejandro,2025-11-17,2025-11-21,5,21,2025-11-17,0,0,35.2,8.3,0.1075,67.0,67.0,74.0,album,True,191219,18
espresso | sabrina carpenter,Espresso,Sabrina Carpenter,2025-06-09,2025-07-03,24,39,2025-06-28,19,1,44.42,3.08,0.245,95.0,98.0,99.0,single,True,175459,1
europapa | joost,Europapa,Joost,2025-05-14,2025-05-18,5,33,2025-05-15,1,0,40.6,4.96,0.1677,82.0,83.0,86.0,single,False,160218,2
eva longoria | ozuna,Eva Longoria,Ozuna,2024-08-12,2024-11-24,90,8,2024-08-29,17,2,25.62,16.64,0.0567,71.0,79.0,77.0,album,False,199850,7
extasisssssss | saiko,Extasisssssss,Saiko,2024-12-20,2025-01-31,43,18,2024-12-22,2,0,33.93,6.87,0.1271,57.0,61.0,75.0,album,False,116666,7
falsos recuerdos | abraham mateo & omar montes,Falsos Recuerdos,Abraham Mateo & Omar Montes,2025-02-01,2025-02-25,24,32,2025-02-08,7,1,40.92,6.69,0.1301,65.0,70.0,75.0,single,False,191414,1
fantasías | mora,FANTASÍAS,Mora,2024-08-30,2024-09-04,6,9,2024-08-30,0,0,26.67,16.27,0.0579,0.0,0.0,78.0,album,True,191847,15
fardos | jc reyes & de la ghetto,FARDOS,JC Reyes & De La Ghetto,2025-02-18,2025-07-30,160,1,2025-02-22,4,3,14.78,11.23,0.0818,59.0,70.0,74.0,single,False,183335,1
fecha - intro extended | renzo pianciola,Fecha - Intro Extended,Renzo Pianciola,2025-04-19,2025-04-20,2,46,2025-04-20,1,0,46.5,0.5,0.6667,0.0,15.0,15.0,single,False,189802,1
fecha | feid & yandel,Fecha,Feid & Yandel,2025-04-14,2025-04-18,5,39,2025-04-17,3,0,46.8,4.35,0.1868,68.0,74.0,76.0,single,True,188600,5
feliz navidad | josé feliciano,Feliz Navidad,José Feliciano,2024-12-25,2024-12-27,3,5,2024-12-25,0,0,11.0,4.24,0.1907,88.0,88.0,88.0,album,False,182066,15
feliz navidad | saiko,Feliz Navidad,Saiko,2024-12-19,2024-12-20,2,36,2024-12-19,0,0,41.0,5.0,0.1667,55.0,55.0,58.0,single,False,218282,3
ferxxo 151 | feid,FERXXO 151,Feid,2024-09-30,2024-11-06,20,17,2024-09-30,0,1,37.65,10.63,0.086,0.0,0.0,73.0,album,False,195320,15
ferxxo 151 | feid & icon,FERXXO 151,Feid & ICON,2024-08-26,2024-09-29,35,9,2024-08-26,0,0,35.4,9.4,0.0962,0.0,0.0,83.0,single,False,195653,1
ferxxo 30 | feid,FERXXO 30,Feid,2024-10-07,2024-10-13,2,32,2024-10-07,0,1,41.0,9.0,0.1,0.0,0.0,76.0,album,False,173760,16
ferxxo edition | feid,FERXXO EDITION,Feid,2024-09-30,2024-10-01,2,43,2024-09-30,0,0,43.0,0.0,1.0,0.0,0.0,0.0,album,False,161746,15
figo | dellafuente & morad,Figo,DELLAFUENTE & Morad,2024-12-02,2024-12-02,1,44,2024-12-02,0,0,44.0,0.0,1.0,0.0,0.0,0.0,single,False,184565,6
fina | bad bunny,FINA,Bad Bunny,2024-10-14,2024-11-18,36,4,2024-10-14,0,0,25.72,14.02,0.0666,0.0,0.0,92.0,album,True,216327,22
finales de agosto | saiko,FINALES DE AGOSTO,SAIKO,2025-04-28,2025-04-29,2,40,2025-04-28,0,0,42.5,2.5,0.2857,57.0,57.0,60.0,album,False,177034,16
flow violento - remix | yosoyplex & ruven,Flow Violento - Remix,YoSoyPlex & Ruven,2024-05-30,2024-06-20,8,46,2024-06-06,7,2,47.88,1.36,0.4231,75.0,75.0,76.0,single,True,166533,1
flowers | miley cyrus,Flowers,Miley Cyrus,2024-05-18,2024-06-06,18,44,2024-05-19,1,1,46.56,1.67,0.374,91.0,91.0,91.0,album,False,200600,13
"flowhot (feat. arcángel, de la ghetto, randy) | the academy: segunda misión & sech & dalex","FLOWHOT (feat. Arcángel, De La Ghetto, Randy)",The Academy: Segunda Misión & Sech & Dalex,2025-03-31,2025-03-31,1,32,2025-03-31,0,0,32.0,0.0,1.0,53.0,53.0,53.0,album,True,233099,9
fortnight (feat. post malone) | taylor swift,Fortnight (feat. Post Malone),Taylor Swift,2025-04-21,2025-04-30,9,24,2025-04-24,3,1,33.67,8.74,0.1026,85.0,89.0,94.0,album,False,228965,16
fosforito | dellafuente,Fosforito,DELLAFUENTE,2025-06-16,2025-06-16,1,46,2025-06-16,0,0,46.0,0.0,1.0,29.0,29.0,29.0,album,False,178782,10
friki | gonzy,FRIKI,Gonzy,2025-05-10,2025-11-26,198,8,2025-06-26,47,3,18.33,7.55,0.117,69.0,73.0,66.0,single,True,189066,1
fruto | bizarrap & milo j,Fruto,Bizarrap & Milo j,2024-10-07,2024-11-11,36,12,2024-10-12,5,0,26.53,8.85,0.1015,68.0,81.0,91.0,single,False,132294,5
frío | myke towers,FRÍO,Myke Towers,2025-08-24,2025-08-24,1,36,2025-08-24,0,0,36.0,0.0,1.0,0.0,0.0,0.0,album,True,160373,20
"fé, cojones y paciencia | eladio carrion","Fé, Cojones y Paciencia",Eladio Carrion,2025-01-21,2025-01-21,1,38,2025-01-21,0,0,38.0,0.0,1.0,66.0,66.0,66.0,album,True,190243,17
g-wa | zheus,G-WA,ZHEUS,2025-11-21,2025-11-27,5,39,2025-11-23,2,2,42.8,3.66,0.2148,57.0,60.0,63.0,single,True,116107,1
gangster (pqfnedg) | ovy on the drums & quevedo & yandel,GANGSTER (PQFNEDG),Ovy On The Drums & Quevedo & Yandel,2024-10-21,2024-11-01,12,15,2024-10-21,0,0,34.83,10.66,0.0858,0.0,0.0,78.0,single,True,215470,1
gangsters y pistolas | feid,GANGSTERS Y PISTOLAS,Feid,2024-09-30,2024-10-01,2,25,2024-09-30,0,0,25.0,0.0,1.0,0.0,0.0,0.0,album,False,170693,15
gata only (mashup) | dj agus lima,Gata Only (Mashup),Dj Agus Lima,2025-05-09,2025-05-10,2,5,2025-05-09,0,0,5.0,0.0,1.0,0.0,0.0,48.0,album,False,215400,9
gata only | floyymenor,Gata Only,FloyyMenor,2025-08-10,2025-10-14,55,15,2025-08-10,0,4,37.71,7.51,0.1175,7.0,7.0,79.0,album,True,222000,7
gata only | floyymenor & cris mj,Gata Only,FloyyMenor & Cris Mj,2025-02-24,2025-08-09,162,2,2025-04-06,41,4,6.75,5.52,0.1533,87.0,94.0,96.0,single,True,222000,1
gatita gangster | karol g,GATITA GANGSTER,KAROL G,2024-09-13,2024-11-24,63,30,2024-10-12,29,1,41.89,5.01,0.1663,75.0,79.0,80.0,album,True,170920,9
gatitas sandungueras vol.1 | alvaro diaz,GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,2025-05-19,2025-07-03,46,12,2025-06-12,24,0,23.52,9.8,0.0926,0.0,79.0,83.0,album,False,131853,20
